album_name;tracks_total;album_id;artist_name;album_release_date;track_duration_ms
On Air;24;4z3q8RPwbnRiiQJDUwMAwH;Queen;2016-11-04;6064332
A Night At The Odeon;19;2tWmWIqaGRhHssZiGrkn8v;Queen;2015-11-13;4400622
Live At The Rainbow;24;7dDGrgcjzDmzXBfyinYIGQ;Queen;2014-01-01;4777936
Live At The Rainbow (Deluxe);41;39YPL3W4Ug5ZFfpiulv2C7;Queen;2014-01-01;8644854
Hungarian Rhapsody (Live In Budapest / 1986);27;0w4sTU4HG4QrEQrGqFLh7B;Queen;2012-01-01;6399644
The Cosmos Rocks;14;47paRwe37Iwl2Dasr2pc17;Queen;2008-01-01;3523769
Queen Rock Montreal;28;27JIAjxwuXQ5gXfl4Ya0qn;Queen;2007-10-29;5883884
Return Of The Champions;27;612jMQoBQ7Y0mZJjoAsJO7;Queen;2005-01-01;7657176
On Fire: Live At The Bowl;25;6SXKdxJs7RV5pe4RB2shvQ;Queen;2004-11-04;6128474
Made In Heaven (2011 Remaster);13;391ScNR3xKywWSpfDwP3n0;Queen;1995-11-06;4226169
Made In Heaven (Deluxe Edition 2011 Remaster);19;4kCtf1Mrytg1DhNyaDcbDz;Queen;1995-11-06;5618421
Live At Wembley Stadium;28;74VmDpx1yWY5sOYA1KkWmZ;Queen;1992-05-26;6684233
Innuendo (2011 Remaster);12;5kffKW0sSLo6tkLg1veUGC;Queen;1991-02-05;3232609
Innuendo (Deluxe Edition 2011 Remaster);17;4May3oxm4OfBv9QwkXylAC;Queen;1991-02-05;4566488
The Miracle (2011 Remaster);10;3h6SV9wHJtNL1YswZUJs8V;Queen;1989-05-22;2477278
The Miracle (Deluxe Edition 2011 Remaster);17;1HmWxU8jJ27zCs3thz4yX5;Queen;1989-05-22;4174556
A Kind Of Magic (2011 Remaster);9;0pEfDPZko6TnNOgrZMe5nn;Queen;1986-06-02;2432730
A Kind Of Magic (Deluxe Edition 2011 Remaster);16;4pDRU9NBCmst37ZBT4hXVE;Queen;1986-06-02;4248540
The Works (2011 Remaster);9;5RS9xkMuDmeVISqGDBmnSa;Queen;1984-02-27;2232091
The Works (Deluxe Edition 2011 Remaster);15;7K6YvloaUMP4rnQQVzdBEo;Queen;1984-02-27;3741835
Hot Space (2011 Remaster);11;6reTSIf5MoBco62rk8T7Q1;Queen;1982-05-03;2614398
Hot Space (Deluxe Edition 2011 Remaster);16;0jEONRWXxZ5LddnJqHPC9g;Queen;1982-05-03;3991931
Flash Gordon (Remastered);18;3rxolmqfcqWFr1kihP3lpQ;Queen;1980-12-05;2111526
Flash Gordon (Deluxe Edition 2011 Remaster);24;5d3AOgrLzJFrmiv6eds2wM;Queen;1980-12-05;2882751
The Game (2011 Remaster);10;58alCatewkjNm9IM1Ucj67;Queen;1980-06-27;2137051
The Game (Deluxe Edition 2011 Remaster);15;5EgbL7EnLNXO999sc47gOl;Queen;1980-06-27;3172609
Live Killers;22;2nwy2IT4YbOsZzwUKPb6Pq;Queen;1979-06-22;5402288
Jazz (2011 Remaster);13;2yuTRGIackbcReLUXOYBqU;Queen;1978-11-10;2680141
Jazz (Deluxe Edition 2011 Remaster);18;7nYftNpa1Bnq12jdIwfI5x;Queen;1978-11-10;3675940
News Of The World (2011 Remaster);11;7tB40pGzj6Tg0HePj2jWZt;Queen;1977-10-28;2355050
News Of The World (Deluxe Edition 2011 Remaster);16;3jr9DLjls4THNQSYa0YcTv;Queen;1977-10-28;3377368
A Day At The Races (2011 Remaster);10;0QRlYlrBuP7eGpEMZvZiaQ;Queen;1976-12-10;2655517
A Day At The Races (Deluxe Edition 2011 Remaster);15;5zMufYBMrHmqeYLoXs05Ko;Queen;1976-12-10;4004368
A Night At The Opera (2011 Remaster);12;1TSZDcvlPtAnekTaItI3qO;Queen;1975-11-21;2585478
Sheer Heart Attack (2011 Remaster);13;2mEAmmRoZrvhBh1Vic03fZ;Queen;1974-11-08;2336556
Sheer Heart Attack (Deluxe Edition 2011 Remaster);18;1Gnrd76EubInPV4KjOJ1Zr;Queen;1974-11-08;3278275
Queen II (2011 Remaster);11;1rjtzyJM3m6PDcFtwp7JZm;Queen;1974-03-08;2443356
Queen II (Deluxe Edition 2011 Remaster);16;0YpxBancYcVg9aLnZerBQg;Queen;1974-03-08;3587208
Queen (2011 Remaster);10;4Vu6gMiQx2N61fVjPoPdmZ;Queen;1973-07-13;2323223
Queen (Deluxe Edition 2011 Remaster);16;6YwX6crCLDQTE8ZbtdzFUh;Queen;1973-07-13;4163248
